id,project_id,entry_date,time_spent,milestone,description
e054,00000000-0000-0000-0000-000000000002,2026-02-10,medium,,Debugged the grader drift.
e055,00000000-0000-0000-0000-000000000002,2026-02-18,large,,Harness end to end on a toy set.
e056,00000000-0000-0000-0000-000000000002,2026-02-24,large,First working eval harness,Finally green end to end.
e057,00000000-0000-0000-0000-000000000002,2026-03-08,small,,Tuned a handful of prompts.
e058,00000000-0000-0000-0000-000000000002,2026-03-12,medium,,Added two new task suites.
e059,00000000-0000-0000-0000-000000000002,2026-03-22,medium,,Baseline runs over the weekend.
e060,00000000-0000-0000-0000-000000000002,2026-03-30,small,,Cleaned up the results notebook.
e061,00000000-0000-0000-0000-000000000002,2026-04-05,medium,,Error analysis on the worst suite.
e062,00000000-0000-0000-0000-000000000002,2026-04-14,medium,,New sampling strategy experiments.
e063,00000000-0000-0000-0000-000000000002,2026-04-20,small,,Reran with fixed seeds.
e064,00000000-0000-0000-0000-000000000002,2026-04-28,medium,,"Wrote up findings, shared them with the lab."
e065,00000000-0000-0000-0000-000000000002,2026-05-03,medium,,Ablation grid design.
e066,00000000-0000-0000-0000-000000000002,2026-05-13,large,,Ran the full ablation grid.
e067,00000000-0000-0000-0000-000000000002,2026-05-20,small,,Plotted the ablation results.
e068,00000000-0000-0000-0000-000000000002,2026-05-31,medium,,Drafted the approach section.
e069,00000000-0000-0000-0000-000000000002,2026-06-02,large,Beat the baseline by 8 points,New approach paid off.
e070,00000000-0000-0000-0000-000000000002,2026-06-10,medium,,Robustness checks on the gain.
e071,00000000-0000-0000-0000-000000000002,2026-06-21,medium,,Paper draft: results section.
e072,00000000-0000-0000-0000-000000000002,2026-06-29,small,,Advisor feedback pass.
e073,00000000-0000-0000-0000-000000000002,2026-07-05,medium,,Camera-ready polish.
e074,00000000-0000-0000-0000-000000000002,2026-07-08,small,,Final proofread.
e075,00000000-0000-0000-0000-000000000002,2026-07-10,large,Submitted the workshop paper,Made the deadline with hours to spare.
e076,00000000-0000-0000-0000-000000000002,2026-07-22,medium,,Ran an ablation study overnight.
e077,00000000-0000-0000-0000-000000000003,2025-08-10,medium,,Domain bought and repo scaffolded.
e078,00000000-0000-0000-0000-000000000003,2025-08-16,small,,Picked a color palette.
e079,00000000-0000-0000-0000-000000000003,2025-08-24,medium,,Layout and typography pass.
e080,00000000-0000-0000-0000-000000000003,2025-09-02,medium,First blog post published,Wrote about the thesis home stretch.
e081,00000000-0000-0000-0000-000000000003,2025-09-14,small,,Fixed RSS and analytics.
e082,00000000-0000-0000-0000-000000000003,2025-09-27,small,,Dark mode toggle.
e083,00000000-0000-0000-0000-000000000003,2025-10-12,medium,,Second post: eval pipelines.
e084,00000000-0000-0000-0000-000000000003,2025-10-25,small,,Image optimization pass.
e085,00000000-0000-0000-0000-000000000003,2025-11-09,small,,Tweaked the about page.
e086,00000000-0000-0000-0000-000000000003,2025-11-29,medium,,Third post: thesis writing tips.
e087,00000000-0000-0000-0000-000000000003,2025-12-14,small,,Holiday card easter egg.
e088,00000000-0000-0000-0000-000000000003,2026-01-11,medium,,Post: what I learned in grad school.
e089,00000000-0000-0000-0000-000000000003,2026-01-31,small,,Comment spam cleanup.
e090,00000000-0000-0000-0000-000000000003,2026-02-08,medium,,Started the homepage redesign.
e091,00000000-0000-0000-0000-000000000003,2026-02-21,medium,,Redesign: new hero and nav.
e092,00000000-0000-0000-0000-000000000003,2026-03-01,small,,Cross-browser fixes.
e093,00000000-0000-0000-0000-000000000003,2026-03-10,medium,Homepage went live,First public version of the redesign online.
e094,00000000-0000-0000-0000-000000000003,2026-03-28,small,,Fixed the mobile nav.
e095,00000000-0000-0000-0000-000000000003,2026-04-04,small,,Lighthouse score tuning.
e096,00000000-0000-0000-0000-000000000003,2026-04-19,medium,,Post: shipping a v2 dashboard.
e097,00000000-0000-0000-0000-000000000003,2026-05-05,medium,,Drafted two blog posts.
e098,00000000-0000-0000-0000-000000000003,2026-05-17,small,,Newsletter signup form.
e099,00000000-0000-0000-0000-000000000003,2026-06-07,medium,,"Post: my eval harness, annotated."
e100,00000000-0000-0000-0000-000000000003,2026-06-22,large,Passed 10k monthly visitors,Traffic milestone after the harness post took off.
e101,00000000-0000-0000-0000-000000000003,2026-06-28,small,,Small SEO tweaks.
e102,00000000-0000-0000-0000-000000000003,2026-07-11,medium,,Post: six months of daily logging.
e103,00000000-0000-0000-0000-000000000003,2026-07-19,small,,Broken link sweep.
e104,00000000-0000-0000-0000-000000000004,2026-01-08,small,,Learned the alphabet.
e105,00000000-0000-0000-0000-000000000004,2026-01-09,small,,Vowel harmony basics.
e106,00000000-0000-0000-0000-000000000004,2026-01-24,small,,First 100 words.
e107,00000000-0000-0000-0000-000000000004,2026-02-06,small,,Present-tense drills.
e108,00000000-0000-0000-0000-000000000004,2026-02-14,small,,Numbers and dates.
e109,00000000-0000-0000-0000-000000000004,2026-02-22,medium,,First tutor session.
e110,00000000-0000-0000-0000-000000000004,2026-03-07,small,,Suffix drills.
e111,00000000-0000-0000-0000-000000000004,2026-03-15,small,,Listening practice with podcasts.
e112,00000000-0000-0000-0000-000000000004,2026-03-21,medium,Held my first five-minute conversation,Nerve-wracking but fun.
e113,00000000-0000-0000-0000-000000000004,2026-04-08,small,,Vocabulary review.
e114,00000000-0000-0000-0000-000000000004,2026-04-18,small,,Past-tense drills.
e115,00000000-0000-0000-0000-000000000004,2026-04-25,medium,,Tutor session: ordering food.
e116,00000000-0000-0000-0000-000000000004,2026-05-10,small,,Flashcard backlog cleared.
e117,00000000-0000-0000-0000-000000000004,2026-05-23,small,,Watched a show with subtitles.
e118,00000000-0000-0000-0000-000000000004,2026-05-30,medium,,Tutor session: travel phrases.
e119,00000000-0000-0000-0000-000000000004,2026-06-06,small,,Future tense intro.
e120,00000000-0000-0000-0000-000000000004,2026-06-17,small,,Shadowing practice.
e121,00000000-0000-0000-0000-000000000004,2026-06-27,medium,,Long chat with the tutor.
e122,00000000-0000-0000-0000-000000000004,2026-07-12,small,,Vocabulary review.
e123,00000000-0000-0000-0000-000000000004,2026-07-25,small,,Music with Turkish lyrics.
e124,00000000-0000-0000-0000-000000000005,2025-10-04,small,,Pinyin and the four tones.
e125,00000000-0000-0000-0000-000000000005,2025-10-15,small,,First 20 characters.
e126,00000000-0000-0000-0000-000000000005,2025-10-26,small,,Tone pair drills.
e127,00000000-0000-0000-0000-000000000005,2025-11-08,medium,,First tutor session.
e128,00000000-0000-0000-0000-000000000005,2025-11-21,medium,Learned my first 100 characters,Flashcards finally paying off.
e129,00000000-0000-0000-0000-000000000005,2025-11-30,small,,Stroke order practice.
e130,00000000-0000-0000-0000-000000000005,2025-12-07,small,,Numbers and family words.
e131,00000000-0000-0000-0000-000000000005,2025-12-20,small,,Holiday break review.
e132,00000000-0000-0000-0000-000000000005,2026-01-10,small,,Radicals deep dive.
e133,00000000-0000-0000-0000-000000000005,2026-01-27,small,,Handwriting drill: 50 characters from memory.
e134,00000000-0000-0000-0000-000000000005,2026-02-07,medium,,Tone practice with a tutor.
e135,00000000-0000-0000-0000-000000000005,2026-02-15,small,,HSK1 vocabulary list started.
e136,00000000-0000-0000-0000-000000000005,2026-02-28,small,,Listening drills.
e137,00000000-0000-0000-0000-000000000005,2026-03-14,medium,,Tutor session: introductions.
e138,00000000-0000-0000-0000-000000000005,2026-03-29,small,,HSK1 vocabulary.
e139,00000000-0000-0000-0000-000000000005,2026-04-11,small,,Grammar: measure words.
e140,00000000-0000-0000-0000-000000000005,2026-04-26,medium,,First short dialogue from memory.
e141,00000000-0000-0000-0000-000000000005,2026-05-09,small,,Practice test warmup.
e142,00000000-0000-0000-0000-000000000005,2026-05-16,medium,,Timed practice sections.
e143,00000000-0000-0000-0000-000000000005,2026-05-26,medium,Passed a mock HSK1,Scored well on the practice test.
e144,00000000-0000-0000-0000-000000000005,2026-06-13,small,,Post-exam review of weak spots.
e145,00000000-0000-0000-0000-000000000005,2026-06-30,small,,Aspect particles intro.
e146,00000000-0000-0000-0000-000000000005,2026-07-05,small,,Radicals review.
e147,00000000-0000-0000-0000-000000000005,2026-07-18,small,,Tutor session: hobbies.
e148,00000000-0000-0000-0000-000000000006,2025-08-05,large,,Results chapter: first full draft.
e149,00000000-0000-0000-0000-000000000006,2025-08-11,medium,,Cleaned up the experiment tables.
e150,00000000-0000-0000-0000-000000000006,2025-08-14,medium,,Advisor meeting: chapter feedback.
e151,00000000-0000-0000-0000-000000000006,2025-08-20,large,,Rewrote the methods chapter.
e152,00000000-0000-0000-0000-000000000006,2025-08-28,medium,,Related work sweep.
e153,00000000-0000-0000-0000-000000000006,2025-09-01,medium,,Introduction rewrite.
e154,00000000-0000-0000-0000-000000000006,2025-09-04,small,,Figure polish.
e155,00000000-0000-0000-0000-000000000006,2025-09-10,large,,Full read-through and edit pass.
e156,00000000-0000-0000-0000-000000000006,2025-09-16,medium,,Fixed the notation inconsistencies.
e157,00000000-0000-0000-0000-000000000006,2025-09-19,small,,Bibliography cleanup.
e158,00000000-0000-0000-0000-000000000006,2025-09-26,large,Sent the full draft to my advisor,Nine chapters out the door.
e159,00000000-0000-0000-0000-000000000006,2025-09-30,small,,Waiting week: minor typo fixes.
e160,00000000-0000-0000-0000-000000000006,2025-10-02,medium,,Advisor comments came back.
e161,00000000-0000-0000-0000-000000000006,2025-10-08,large,,Major revision of chapter four.
e162,00000000-0000-0000-0000-000000000006,2025-10-13,medium,,Reran the flaky experiment.
e163,00000000-0000-0000-0000-000000000006,2025-10-17,medium,,Revision pass on results.
e164,00000000-0000-0000-0000-000000000006,2025-10-22,small,,Formatting for the template.
e165,00000000-0000-0000-0000-000000000006,2025-10-27,medium,,Second advisor review round.
e166,00000000-0000-0000-0000-000000000006,2025-10-31,small,,Halloween edits.
e167,00000000-0000-0000-0000-000000000006,2025-11-03,medium,,Committee copies prepared.
e168,00000000-0000-0000-0000-000000000006,2025-11-06,large,Committee accepted the final draft,Green light to schedule the defense.
e169,00000000-0000-0000-0000-000000000006,2025-11-12,medium,,Defense slides: first draft.
e170,00000000-0000-0000-0000-000000000006,2025-11-18,medium,,Practice talk with the lab.
e171,00000000-0000-0000-0000-000000000006,2025-11-24,medium,,Slide revisions after feedback.
e172,00000000-0000-0000-0000-000000000006,2025-11-28,small,,Q and A prep.
e173,00000000-0000-0000-0000-000000000006,2025-12-02,medium,,Second practice talk.
e174,00000000-0000-0000-0000-000000000006,2025-12-05,small,,Final slide polish.
e175,00000000-0000-0000-0000-000000000006,2025-12-09,medium,,Mock questions with my advisor.
e176,00000000-0000-0000-0000-000000000006,2025-12-11,large,Defended my master's thesis,Passed with minor revisions.
e177,00000000-0000-0000-0000-000000000006,2025-12-19,large,Submitted the final copy,Uploaded to the library. Done.
